id,original_name,image_file,qwen_reasoning,qwen_era,qwen_culture,qwen_decoration,qwen_shape_feature,qwen_texture,qwen_root_shape,qwen_name
706643640068464fa36527aaa2b4ed12,新石器时代龙山文化黑陶罍,706643640068464fa36527aaa2b4ed12_0.jpg,器物通体呈黑色，表面光滑但有剥落痕迹，显为黑陶；器身两侧有对称桥形耳，颈部较短、肩部圆鼓、腹部下收，整体造型符合‘罍’的典型特征；无明显纹饰或彩绘，属素面黑陶；结合形制与黑陶工艺，高度契合龙山文化晚期典型器类。,新石器时代,龙山文化,,双耳,黑陶,罍,新石器时代龙山文化黑陶双耳罍
0F1CE998CD7540E6B84F6BC43691D104,新石器时代龙山文化竹节筒陶杯,0F1CE998CD7540E6B84F6BC43691D104_0.jpg,器身呈筒状，外壁有明显凸起的横向棱脊，形似竹节；胎体较厚，表面粗糙可见砂粒，属夹砂陶；整体呈黑褐色，内壁及部分残片露白胎，应为烧制时火候不均所致，典型龙山文化黑陶特征；无彩绘、绳纹等装饰，仅靠造型形成‘竹节’效果；器型为直筒小杯，与山东龙山文化常见竹节筒形杯一致。,新石器时代,龙山文化,,竹节筒,夹砂黑褐陶,杯,新石器时代龙山文化夹砂黑褐陶竹节筒杯
12FE14F006A247979DCD61EBFB1F82C2,新石器时代龙山文化黑陶罐,12FE14F006A247979DCD61EBFB1F82C2_0.jpg,陶器为球形腹、小口、无耳无足，表面粗糙可见砂粒，呈灰褐色，无明显纹饰或彩绘，属典型夹砂灰褐陶；器型为敞口小罐，破损严重但整体轮廓可辨；龙山文化常见夹砂灰陶罐，但此器无黑陶典型特征（如蛋壳薄、乌黑光亮），更接近一般灰褐夹砂陶，文化归属存疑，暂不强定；年代应为新石器时代晚期。,新石器时代晚期,,,,夹砂灰褐陶,罐,新石器时代晚期夹砂灰褐陶罐
245B2DAFBFD6407095AE687F31AA391C,新石器时代龙山文化陶纺轮,245B2DAFBFD6407095AE687F31AA391C_0.jpg,该器物为扁平圆饼状，中央有穿孔，表面素面无纹饰，质地呈灰褐色、质地较致密，符合龙山文化晚期常见泥质灰陶纺轮特征；形制典型，属纺织工具纺轮。,新石器时代,龙山文化,,,泥质灰陶,纺轮,新石器时代龙山文化泥质灰陶纺轮
A85DA6DBEF5740509EAC755BEC38E838,新石器时代龙山文化黑褐色陶罐（残）,A85DA6DBEF5740509EAC755BEC38E838_0.jpg,陶片呈灰黑色至黑褐色，质地粗糙、断面可见砂粒，属夹砂陶；表面无明显彩绘、绳纹或附加堆纹等装饰，仅见部分弧形器壁残片，推测为罐类器物的腹部或肩部残片；整体风格与龙山文化晚期典型夹砂灰黑陶一致，但缺乏明确文化标识特征，故文化归属谨慎处理。,新石器时代,龙山文化,,,夹砂黑褐陶,罐,新石器时代龙山文化夹砂黑褐陶罐
4C6D65712E6B496A8A518CFC80E375B9,新石器时代大汶口文化灰陶坠饰,4C6D65712E6B496A8A518CFC80E375B9_0.jpg,该器物为细长尖状石质（非陶）薄片，中部有一穿孔，表面呈灰黑色、质地致密无砂粒，应为磨制石器而非陶器；其形制与新石器时代大汶口文化常见石坠饰（或称石镞形坠）高度吻合，但材质为石非陶，故原表‘灰陶坠饰’定名有误。,新石器时代,大汶口文化,素面,尖叶形、单孔,灰黑石,坠饰,新石器时代大汶口文化素面灰黑石尖叶形单孔坠饰
1354121A87774F0DB0FA2623C8A5F526,新石器时代大汶口文化彩绘红陶双耳罐,1354121A87774F0DB0FA2623C8A5F526_0.jpg,陶器为红褐色，表面粗糙可见砂粒，属夹砂红陶；器身中部有明显附加堆纹（呈带状凸起），肩部对称设两个小系耳（非典型大耳，但具穿绳功能）；器形为小口、鼓腹、平底，整体为典型罐形；无彩绘、绳纹或镂孔等装饰，附加堆纹是主要特征；综合形制与工艺特征，符合大汶口文化中晚期夹砂陶罐常见类型。,新石器时代,大汶口文化,附加堆纹,双系耳,夹砂红陶,罐,新石器时代大汶口文化附加堆纹夹砂红陶双系耳罐
A944BE9B81D44644BC56846035D7767F,新石器时代大汶口文化黑衣红褐陶镂孔高柄豆,A944BE9B81D44644BC56846035D7767F_0.jpg,该器为高柄豆形制，浅盘、细高柄、喇叭形圈足；柄部有三处明显圆形镂孔（上下分布），属典型镂孔装饰；胎体呈灰褐色，表面局部残留白色涂层（可能为白陶衣或烧成后氧化层），整体质地较致密，无明显沙粒，应为泥质灰陶；器型与大汶口文化中晚期高柄豆高度吻合，尤其镂孔高柄豆是其标志性器类。,新石器时代,大汶口文化,镂孔,高柄,泥质灰陶,豆,新石器时代大汶口文化镂孔高柄泥质灰陶豆
9C3B120B017F4E859D431486B47D3DAD,新石器时代大汶口文化大口红陶尊,9C3B120B017F4E859D431486B47D3DAD_0.jpg,器物呈倒锥形，口大底小，通体表面可见细密平行的横向刮抹痕或浅绳纹痕迹，局部残留淡红彩（非典型彩绘，似为施红衣后磨光或残存），质地粗糙、胎体厚实，含明显砂粒，属夹砂红陶；器型与大汶口文化晚期常见‘尊’类礼器高度吻合，尤其符合‘大口、深腹、矮圈足’特征。,新石器时代,大汶口文化,红衣（残）、浅绳纹,大口、倒锥形,夹砂红陶,尊,新石器时代大汶口文化红衣浅绳纹夹砂红陶大口倒锥形尊
4681B315D9D744378D9791C50FC021DB,新石器时代大汶口文化红褐陶瓶,4681B315D9D744378D9791C50FC021DB_0.jpg,器身呈细长筒状，上部微侈口，下部收束至底，无耳、足等附加结构；表面粗糙，可见砂粒，呈红褐色，属夹砂红褐陶；口沿有白色附着物（可能为后期钙化或残留涂料），但无明确纹饰、彩绘或堆塑装饰；形制近似小型盛贮或礼仪用具，常见于新石器时代中晚期，结合其高瘦筒形特征，与大汶口文化晚期至龙山文化早期的‘筒形杯’或‘细颈瓶’类似，但更倾向定为‘杯’类；因无典型纹饰与明确文化标识，暂依形制与质地保守归入新石器时代，文化归属存疑，但参考同类器多见于大汶口文化晚期。,新石器时代,大汶口文化,,细颈筒形,夹砂红褐陶,杯,新石器时代大汶口文化夹砂红褐陶细颈筒形杯
0BE9BC9D3FA84569A4FA933F8B805F6F,新石器时代大汶口文化灰陶罐,0BE9BC9D3FA84569A4FA933F8B805F6F_0.jpg,器物为灰陶质地，表面布满细密开裂的冰裂纹（即‘开片’，但属烧成后自然裂痕，非人为装饰），无明显纹饰、附加堆纹或耳足等特征；器形为小口、鼓腹、平底，属典型罐类；整体风格朴素，符合大汶口文化中晚期至龙山文化早期过渡阶段泥质灰陶罐特征，但因缺乏典型文化标识（如彩绘、特定纹样或特殊造型），文化归属存疑，暂依常见定名惯例参考原表倾向定为大汶口文化。,新石器时代,大汶口文化,,,泥质灰陶,罐,新石器时代大汶口文化泥质灰陶罐
